"TripSetNo","TripSetPredNo","Date","Quarter","Year","Lat","Lon","SST","PredSpp","Length","Fullness","Argonautidae","Balistidae","BivalviaC","Bramidae","Carangidae","Clupeidae","Coryphaenidae","DecapodaO","Engraulidae","Exocoetidae","Galatheidae","GastropodaC","Gempylidae","Hemiramphidae","Hemisquillidae","Loliginidae","Myctophidae","Nomeidae","Octopodidae","Ommastrephidae","Ostraciidae","Penaeidae","Phosichthyidae","Portunidae","Scombridae","Squillidae","StomatopodaO","Tetraodontidae","Thysanoteuthidae"
11,111,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",1266,80,0,0,0,0,0,0,0,0,0,0,79.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,112,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",1069,100,0,0,0,0,0,0,0,0,0,0,99.17,0,0,0,0,0,0,0,0,3.96,0,0,0,0,0,0,0,0,0
11,113,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",890,80,0,4.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.9,0,0,0,0,0,0,0,0
11,114,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",814,80,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.14,0,0,0,0,0,0,0,0
11,115,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",874,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.45,0,0,0,0,0,0,0,0
11,116,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",867,20,0,0,0,0,0,0,0,0,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,117,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",1281,30,0,8.77,0,0,0,0,0,0,0,0,2.41,0,0,0,0,0,0,0,0,2.6,0.13,0,0,0,0,0,0,0,0
11,118,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",855,50,0,0,0,0,0,0,0,0,0,0,2.99,0,0,0,0,0,0,0,0,18.93,0,0,0,0,0,0,0,0,0
11,119,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",822,80,0,0,0,0,0,0,0,0,0,5.72,0.45,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,4.5,0
11,1110,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",1059,70,0,0,0,0,0,0,0,0,0,1.79,19.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1211,"10/06/2003",4,2003,11.68,-120.28,28.33333,"Thunnus albacares",1141,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.6,0,0,0,0
12,1212,"10/06/2003",4,2003,11.68,-120.28,28.33333,"Thunnus albacares",917,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.08,0,0,0,0
12,1213,"10/06/2003",4,2003,11.68,-120.28,28.33333,"Thunnus albacares",908,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77,0,0,0,0,0,0
12,1214,"10/06/2003",4,2003,11.68,-120.28,28.33333,"Thunnus albacares",1025,15,0,1.4,0,0,0,0,0,0,0,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1215,"10/06/2003",4,2003,11.68,-120.28,28.33333,"Thunnus albacares",1274,20,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52,0,0,13.29,0,0,0,0,0,0
12,1216,"10/06/2003",4,2003,11.68,-120.28,28.33333,"Thunnus albacares",1151,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,0,0,0,0
12,1217,"10/06/2003",4,2003,11.68,-120.28,28.33333,"Thunnus albacares",871,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,73.4,0,0,0,0,0,0
12,1218,"10/06/2003",4,2003,11.68,-120.28,28.33333,"Thunnus albacares",822,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,21.71,0,0,0,0,0,0
12,1219,"10/06/2003",4,2003,11.68,-120.28,28.33333,"Thunnus albacares",840,80,0,0,0,0,0,0,0,0,0,0,0,0,0,12.15,0,0,0,0,0,0,0,0,11.85,0,0,0,0,0,0
12,1220,"10/06/2003",4,2003,11.68,-120.28,28.33333,"Thunnus albacares",974,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74,0,0,0,0,0,0
23,2321,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",1155,80,0,0,0,0,0,0,0,0,0,0,3.14,0,0,0,0,0,0,0,2.82,99.37,0,0,0,0,0,0,0,0,0
23,2322,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",1108,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49,198.42,0,0,0,0,0,0,0,0,0
23,2323,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",1047,90,0,0,0,0,0,0,0,0,0,0,23.51,0,0,0,0,0,0,0,0,191.03,0,0,0,0,0,0,0,0,0
23,2324,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",1095,30,0,0,0,0,0,0,0.48,0,0,0,6.57,0,0,0,0,0,0,0,0,6.12,0,0,0,0,0,0,0,0,0
23,2325,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",1115,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.22,0,0,0,0,0,0,0,0,0
23,2326,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",1129,60,0,0,0,0,0,0,0,0,0,0,14.81,0,0,0,0,0,0,0,0,26.37,0,0,0,0,0,0,0,0,0
23,2327,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",1140,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.79,0,0,0,0,0,0,0,0,0
23,2328,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",1079,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.55,0,0,0,0,0,0,0,0,0
23,2329,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",639,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.86,0,0,0,0,0,0,0,0,0
23,2330,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",1008,80,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,260.83,0,0,0,0,0,0,0,0,0
23,2331,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",1083,50,0,0,0,0,0,0,0,0,0,0,5.98,0,0,0,0,0,0,0,0,21.51,0,0,0,0,0,0,0,0,0
23,2332,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",991,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.16,0,0,0,0,0,0,0,0,0
23,2333,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",646,20,0,0,0,0,0,0,0,0,0,0,0.39,0,0,0,0,0,0,0,0,14.79,0,0,0,0,0,0,0,0,0
23,2334,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",1073,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.97,0,0,0,0,0,0,0,0,0
24,2435,"9/23/2003",3,2003,12.57,-115.55,28.05556,"Thunnus albacares",853,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.14,0,0,0,0
24,2436,"9/23/2003",3,2003,12.57,-115.55,28.05556,"Thunnus albacares",667,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0
24,2437,"9/23/2003",3,2003,12.57,-115.55,28.05556,"Thunnus albacares",756,5,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,4.79,0,0,0,0,0,0,0,0,0
24,2438,"9/23/2003",3,2003,12.57,-115.55,28.05556,"Thunnus albacares",882,5,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2439,"9/23/2003",3,2003,12.57,-115.55,28.05556,"Thunnus albacares",732,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69,0,0,0,0,0,0,0,0,0
24,2440,"9/23/2003",3,2003,12.57,-115.55,28.05556,"Thunnus albacares",673,10,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2441,"9/23/2003",3,2003,12.57,-115.55,28.05556,"Thunnus albacares",551,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76,0,0,0,0,0,0,0,0,0
35,3542,"9/29/2003",3,2003,5.85,-98.1,27.4,"Thunnus albacares",572,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3543,"9/29/2003",3,2003,5.85,-98.1,27.4,"Thunnus albacares",613,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0
46,4644,"9/29/2003",3,2003,12.18,-113.43,27,"Thunnus albacares",794,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0
46,4645,"9/29/2003",3,2003,12.18,-113.43,27,"Thunnus albacares",803,10,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,4646,"9/29/2003",3,2003,12.18,-113.43,27,"Thunnus albacares",709,10,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,4647,"9/29/2003",3,2003,12.18,-113.43,27,"Thunnus albacares",962,15,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0,0,0,0,0
46,4648,"9/29/2003",3,2003,12.18,-113.43,27,"Thunnus albacares",976,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0
46,4649,"9/29/2003",3,2003,12.18,-113.43,27,"Thunnus albacares",901,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
46,4650,"9/29/2003",3,2003,12.18,-113.43,27,"Thunnus albacares",727,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,0,0
46,4651,"9/29/2003",3,2003,12.18,-113.43,27,"Thunnus albacares",793,10,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,4652,"9/29/2003",3,2003,12.18,-113.43,27,"Thunnus albacares",780,5,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,4753,"10/08/2003",4,2003,11.73,-120.73,28.5,"Thunnus albacares",755,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.07,0,0,0,0,0,0
47,4754,"10/08/2003",4,2003,11.73,-120.73,28.5,"Thunnus albacares",1098,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,0,0,0,0,0,0
47,4755,"10/08/2003",4,2003,11.73,-120.73,28.5,"Thunnus albacares",940,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0
47,4756,"10/08/2003",4,2003,11.73,-120.73,28.5,"Thunnus albacares",1045,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0
47,4757,"10/08/2003",4,2003,11.73,-120.73,28.5,"Thunnus albacares",749,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.16,0,0,0,0,0,0
47,4758,"10/08/2003",4,2003,11.73,-120.73,28.5,"Thunnus albacares",1228,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0
47,4759,"10/08/2003",4,2003,11.73,-120.73,28.5,"Thunnus albacares",1050,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0
47,4760,"10/08/2003",4,2003,11.73,-120.73,28.5,"Thunnus albacares",1058,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78,0,0,0.16,0,0,0,0,0,0
47,4761,"10/08/2003",4,2003,11.73,-120.73,28.5,"Thunnus albacares",708,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0
58,5862,"10/14/2003",4,2003,11.78,-114.68,28.33333,"Thunnus albacares",814,100,0,0,0,0,0,0,0,0,0,0,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,239.29,0,0,0,0
58,5863,"10/14/2003",4,2003,11.78,-114.68,28.33333,"Thunnus albacares",927,100,0,0,0,0,0,0,0,0,0,0,9.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,5864,"10/14/2003",4,2003,11.78,-114.68,28.33333,"Thunnus albacares",892,100,0,0,0,0,0,0,0,0,0,0,22.02,0,0,0,0,0,0,0,0,0,0,0,0,0,161.23,0,0,0,0
58,5865,"10/14/2003",4,2003,11.78,-114.68,28.33333,"Thunnus albacares",904,25,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,5866,"10/14/2003",4,2003,11.78,-114.68,28.33333,"Thunnus albacares",807,25,0,0,0,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,5867,"10/14/2003",4,2003,11.78,-114.68,28.33333,"Thunnus albacares",862,100,0,0,0,0,0,0,0,0,0,0,9.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,5868,"10/14/2003",4,2003,11.78,-114.68,28.33333,"Thunnus albacares",835,100,0,0.58,0,0,0,0,0,0,0,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,5869,"10/14/2003",4,2003,11.78,-114.68,28.33333,"Thunnus albacares",843,25,0,0,0,0,0,0,0,0,0,0,8.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,5870,"10/14/2003",4,2003,11.78,-114.68,28.33333,"Thunnus albacares",481,5,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,5871,"10/14/2003",4,2003,11.78,-114.68,28.33333,"Thunnus albacares",890,10,0,0,0,0,0,0,0,0,0,0,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
58,5872,"10/14/2003",4,2003,11.78,-114.68,28.33333,"Thunnus albacares",864,100,0,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,5873,"10/14/2003",4,2003,11.78,-114.68,28.33333,"Thunnus albacares",850,75,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0
59,5974,"10/21/2003",4,2003,13.75,-113.07,28.61111,"Thunnus albacares",934,30,0,0,0,0,0,0,0,0,0,0,50.04,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
59,5975,"10/21/2003",4,2003,13.75,-113.07,28.61111,"Thunnus albacares",880,30,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,5976,"10/21/2003",4,2003,13.75,-113.07,28.61111,"Thunnus albacares",896,30,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,5977,"10/21/2003",4,2003,13.75,-113.07,28.61111,"Thunnus albacares",857,50,0,0,0,0,0,0,0,0,0,0,54.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,5978,"10/21/2003",4,2003,13.75,-113.07,28.61111,"Thunnus albacares",839,70,0,0,0,0,0,0,0,0,0,0,78.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,5979,"10/21/2003",4,2003,13.75,-113.07,28.61111,"Thunnus albacares",860,30,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,5980,"10/21/2003",4,2003,13.75,-113.07,28.61111,"Thunnus albacares",857,30,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,5981,"10/21/2003",4,2003,13.75,-113.07,28.61111,"Thunnus albacares",583,50,0,0,0,0,0,0,0,0,0,0,28.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,5982,"10/21/2003",4,2003,13.75,-113.07,28.61111,"Thunnus albacares",500,70,0,0,0,0,0,0,0,0,0,0,11.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,5983,"10/21/2003",4,2003,13.75,-113.07,28.61111,"Thunnus albacares",490,70,0,0,0,0,0,0,0,0,0,0,6.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,51084,"10/24/2003",4,2003,10.53,-109.02,27.77778,"Thunnus albacares",521,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0
511,51185,"10/27/2003",4,2003,11.35,-113,28.05556,"Thunnus albacares",907,10,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,51186,"10/27/2003",4,2003,11.35,-113,28.05556,"Thunnus albacares",974,10,0,0,0,0,0,0,0,0,0,0.42,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,51187,"10/27/2003",4,2003,11.35,-113,28.05556,"Thunnus albacares",649,10,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,51188,"10/27/2003",4,2003,11.35,-113,28.05556,"Thunnus albacares",650,20,0,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,51189,"10/27/2003",4,2003,11.35,-113,28.05556,"Thunnus albacares",632,20,0,0,0,0,0,0,0,0,0,0.01,16.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,51190,"10/27/2003",4,2003,11.35,-113,28.05556,"Thunnus albacares",514,15,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,51191,"10/27/2003",4,2003,11.35,-113,28.05556,"Thunnus albacares",480,10,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,61292,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",920,15,0,0,0,0,0,0,0,0,0,0,34.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,61293,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",840,10,0,0,0,0,0,0,0,0,0,0,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,61294,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",830,30,0,0,0,0,0,0,0,0,0,0,99.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,61295,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",920,70,0,0,0,0,0,0,0,0,0,0,95.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,61296,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",800,30,0,0,0,0,0,0,0,0,0,1.92,122.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,61297,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",770,70,0,0,0,0,0,0,0,0,0,0,63.32,0,0,0,0,0,0,0,0,16.51,0,0,0,0,0,0,0,0,0
612,61298,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",900,10,0,0,0,0,0,0,0,0,0,0,111.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,61299,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",850,40,0,0,0,0,0,0,0,0,0,0,217.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,612100,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",720,70,0,0,0,0,0,0,0,0,0,0,24.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,612101,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",770,30,0,0,0,0,0,0,0,0,0,0,4.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,612102,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",800,30,0,0,0,0,0,0,0,0,0,0,78.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,612103,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",960,20,0,0,0,0,0,0,0,0,0,0,29.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,612104,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",830,30,0,0,0,0,0,0,0,0,0,0,58.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,612105,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",580,30,0,0,0,0,0,0,0,0,0,0,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,612106,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",565,70,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,612107,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",470,70,0,0,0,0,0,0,0,0,0,0,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613,613108,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",830,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.03,0,0,0,0,0,0
613,613109,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",900,40,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29,0
613,613110,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",750,60,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.12,0,0,0,0,0,0
613,613111,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",711,60,0.21,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,17.1,0,0,0,0,0,0
613,613112,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",862,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.85,0,0,0,0,0,0
